Categoria,Nombre del Articulo,Autor(es),Pais,Año publicacion,Cantidad de citas,Tipo documento,DOI,Revista/Conferencia,Volumen,Numero,Paginas,URL,Editorial,Palabras Indexadas,Resumen 3 lineas,Justificación categoría
Meso,CRUSOE: A toolset for cyber situational awareness and decision support in incident handling,Husák M.; Sadlek L.; Špaček S.; Laštovička M.; Javorník M.; Komárková J.,Czech Republic,2022,49,Artículo,10.1016/j.cose.2022.102609,Computers and Security,115,,102609,https://www.scopus.com/pages/publications/85123054280?origin=resultslist,Elsevier Ltd,"Cyber situational awareness, Decision support, Incident response, Network monitoring, OODA Loop, Artificial intelligence, Cybersecurity, Data visualization, Network security, Cybe situational awareness, Cyber security, Decision supports, Security operation center, Security situation, Situational awareness, Toolsets, Decision support systems, process","The growing size and complexity of today's computer network make it hard to achieve and maintain so-called cyber situational awareness, i.e., the ability to perceive and comprehend the cyber environment and be able to project the situation in the near future. Namely, the personnel of cybersecurity incident response teams or security operation centers should be aware of the security situation in the network to effectively prevent or mitigate cyber attacks and avoid mistakes in the process. In this paper, we present a toolset for achieving cyber situational awareness in a large and heterogeneous environment.","Clasificado como Meso por coincidencias en metadatos: incident response, process."
Meso,"A cases and clusters framework for recording, retrieving, and reusing response plans in structured cybersecurity incident management",Guerra P.A.C.; Nunes R.C.; de Lima Silva L.A.,Brazil,2025,1,Artículo,10.1016/j.engappai.2025.111831,Engineering Applications of Artificial Intelligence,160,,111831,https://www.scopus.com/pages/publications/105012589651?origin=resultslist,Elsevier Ltd,"Case-based reasoning, Clustering, Cybersecurity, Cybersecurity incident response, Decision-support system, Explainable artificial intelligence, Ontology, Case based reasoning, Cluster analysis, Decision making, Query processing, Casebased reasonings (CBR), Clusterings, Cyber security, Decision supports, Incident response, Ontology's, Support systems, Decision support systems, organization","The dynamic and increasing sophistication of cyberattacks and vulnerability exploitation creates a need for Explainable Artificial Intelligence (XAI) approaches that help maintain cyber resilience in organizations. In structured cybersecurity incident management, effective incident response demands explainable outputs from AI-based decision-support systems. To approach this problem, this work presents a framework for reusing concrete experiences of cybersecurity incident response, capturing problem-solving data and knowledge as cases for integrated Case-Based Reasoning (CBR) and Clustering.","Clasificado como Meso por coincidencias en metadatos: management, incident management, organization, decision making, incident response, process."
Meso,Multi-agent DSS for Smart Government Crisis Management,Jiang H.; Wang Y.,China,2024,2,Conferencia,10.1007/978-3-031-51734-1_7,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14208,,88-100,https://www.scopus.com/pages/publications/85184148168?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"Crisis, Crisis Management, Decision Support System, Multi-Agent, Smart Government, Data warehouses, Decision making, Information management, Intelligent agents, Multi agent systems, Decision evaluations, Decision makers, Decision supports, Decision-making process, Decisions makings, Evaluation and analysis, Multi agent, Decision support systems, government, management","The conventional government fails to acknowledge the paramount importance of data in crisis management. The Decision Support System (DSS) for intelligent governance can furnish decision makers with effective crisis decision support. The process of government crisis decision-making entails the pre-decision monitoring of big data on crisis information, situation simulation during the decision-making process, and post-decision evaluation and analysis, thereby establishing a cyclical framework.","Clasificado como Meso por coincidencias en metadatos: management, governance, decision making, incident response, process."
Micro,Enhancing cybersecurity incident response: AI-driven optimization for strengthened advanced persistent threat detection,Ali G.; Shah S.; ElAffendi M.,Saudi Arabia,2025,24,Artículo,10.1016/j.rineng.2025.104078,Results in Engineering,25,,104078,https://www.scopus.com/pages/publications/85215391564?origin=resultslist,Elsevier B.V.,"Cybersecurity incident response, Machine learning, Security information and event management, Cyber attacks, Cyber security, False positive, Incident response, Machine learning techniques, Machine-learning, Optimisations, Security incident, Security information and event managements, Threat detection, Adversarial machine learning, organizational, management, process, model, detection, dataset","The Cyber Security Incident Response Team executes its critical duties in the Centralized Security Operation Centers. Its primary target is to protect organizational resources from all types of Advanced Persistent Threats (APTs) and attacks while making the correct judgments at the right time. Despite the great efforts and the efficient tools, the incident response mechanism faces two significant challenges.","Clasificado como Micro por coincidencias en metadatos: detection, threat detection, model, machine learning, dataset, random forest."
Micro,UAV-Enabled Intelligent Traffic Management Using Multi-Modal Deep Learning and IoT Integration,Sahutoglu Z.; Bakirci M.,Turkey,2026,0,Conferencia,10.1109/IISEC69317.2026.11418411,"Proceedings - 5th International Conference on Informatics and Software Engineering, IISEC 2026",,,158-163,https://www.scopus.com/pages/publications/105036002674?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"autonomous traffic monitoring, CNN-Transformer hybrid model, communication networks, deep learning, edge computing, intelligent transportation systems, multi-modal data fusion, real-time object detection, smart cities, UAV-IoT integration, Advanced traffic management systems, Aircraft detection, Antennas, Decision making, Highway traffic control, Internet of things, Modal analysis, Motor transportation, Network architecture, Object detection","The continued expansion of urban mobility and the growing complexity of connected transportation infrastructures have increased the need for real-time traffic monitoring and adaptive control mechanisms. In response to this demand, this work introduces a UAV-enabled intelligent traffic management framework that combines multi-modal deep learning with IoT-based communication networks to support dynamic traffic assessment and rapid incident response. A fleet of UAVs equipped with vision and MEMS-based sensors collects aerial observations, which are subsequently fused with data from ground-based IoT sensors to identify congestion patterns, roadway anomalies, and emerging hazards.","Clasificado como Micro por coincidencias en metadatos: deep learning, model, transformer, detection, framework, cnn."
Micro,Feasibility Analysis of Static-Image-Based Traffic Accident Detection Under Domain Shift for Edge-AI Surveillance Systems,Wu C.-C.; Chen W.-C.,Taiwan,2026,0,Artículo,10.3390/electronics15091803,Electronics (Switzerland),15,9,1803,https://www.scopus.com/pages/publications/105038390346?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"domain shift, edge AI, feasibility study, intelligent transportation systems, static-image-based detection, Swin Transformer, traffic accident detection, Vision Transformer, Architectural design, Behavioral research, Decision making, Edge detection, Highway accidents, Highway traffic control, Image analysis, Intelligent systems, Intelligent vehicle highway systems, Motor transportation, Screening, Accident detections","Traffic accident detection is a critical component of intelligent transportation systems (ITS), enabling timely incident response and traffic management. While most existing approaches rely on temporal information from video sequences, such methods are not always applicable in resource-constrained surveillance environments. This study investigates the feasibility of detecting traffic accidents from single static images by formulating the task as a binary classification problem.","Clasificado como Micro por coincidencias en metadatos: detection, model, models, transformer, classification, dataset."
Meso,Maritime Cyber Security Platform (MCSP),Laurenza G.; Tacconi R.; Dri M.; Landucci S.; Alì D.,Italy,2025,1,Conferencia,10.3233/PMST250137,Progress in Marine Science and Technology,10,,1154-1163,https://www.scopus.com/pages/publications/105016225511?origin=resultslist,IOS Press BV,"cyber security, maritime, management, incident response, processes, artificial intelligence, framework","The Maritime Cyber Security Platform (MCSP) is an advanced, specialized security monitoring framework tailored specifically to the maritime domain. Its primary function is to collect and analyze data from a vessel’s digital systems. The platform is designed to identify anomalous activities and potential threats targeting onboard systems, thus enhancing the vessel’s overall cyber resilience.","Clasificado como Meso por coincidencias en metadatos: management, incident response, processes, decision making."
Micro,"QuickSAT/SHERLOCK-MD, A System For Autonomous Operations And Health Management of Gateway",Santangelo A.D.; Falco G.,United States,2024,3,Conferencia,10.2514/6.2024-2417,"AIAA SciTech Forum and Exposition, 2024",,,,https://www.scopus.com/pages/publications/85194191160?origin=resultslist,"American Institute of Aeronautics and Astronautics Inc, AIAA","Anomaly detection, Classification (of information), Decision support systems, Failure analysis, Fault detection, Knowledge based systems, Orbits, Risk assessment, Autonomous operations, Classification functions, Fault classification, Faults detection, Health management, Management functions, Operation management, Security risks, Vehicle health management, Vehicle management systems, NASA, management","sci_Zone, Inc and Cornell University are conducting research to develop QuickSAT/SHERLOCK-MD, a system for Vehicle Health Management and Fault Detection with Fault Classification Functions for the Gateway Lunar Platform. The QuickSAT/Vehicle Management System (VMS) is a flight proven flight management, Vehicle Health Management plus Fault Detection system flown on DARPA and U.S. Space Force flights.","Clasificado como Micro por coincidencias en metadatos: models, artificial intelligence, classification, detection, anomaly detection, datasets."
Micro,Deep Learning-Based Hyperparameter Optimization for Enhanced Segmentation of RGB Images in Oil Spill Detection Within Port Environments,Kurah I.M.; Adamu S.; Alhussian H.; Alwadain A.; Aliyu D.A.; Mamman H.; Garba A.,Saudi Arabia,2025,2,Artículo,10.1109/ACCESS.2025.3599593,IEEE Access,13,,146052-146067,https://www.scopus.com/pages/publications/105013795195?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Deep learning, Deeplab, drone imagery, hyperparameter optimization, oil spill detection, port environments, Aircraft detection, Convolution, Convolutional neural networks, Drones, Environmental protection, Learning algorithms, Learning systems, Network architecture, Oil spills, Semantic Segmentation, Semantic Web, Semantics, Transfer learning, Cross validation","Accurate detection of oil spills in dynamic port environments remains critical for timely response and effective environmental protection. Recent studies have explored the application of deep learning models to high-resolution RGB imagery; however, challenges persist due to the complex visual characteristics of ports, including dynamic water surfaces, infrastructural occlusions, and heterogeneous backgrounds. Traditional detection approaches have demonstrated limited robustness under such conditions, often resulting in elevated rates of false positives and missed detections.","Clasificado como Micro por coincidencias en metadatos: deep learning, detection, algorithms, model, models."
Micro,Predicting the duration of motorway incidents using machine learning,Corbally R.; Yang L.; Malekjafarian A.,Ireland,2024,8,Artículo,10.1186/s12544-024-00632-6,European Transport Research Review,16,1,14,https://www.scopus.com/pages/publications/85185452067?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"Classification, Incident duration, Incident management, Incident response, M50 motorway, Machine learning, Motorway operations, Regression, Road traffic collisions, Traffic incidents, Decision making, Forecasting, Highway administration, Highway planning, Learning algorithms, Learning systems, Motor transportation, Roads and streets, Driver's safety, Machine-learning","Motorway incidents are frequent & varied in nature. Incident management on motorways is critical for both driver safety & road network operation. The expected duration of an incident is a key parameter in the decision-making process for control room operators, however, the actual duration for which an incident will impact the network is never known with true certainty.","Clasificado como Micro por coincidencias en metadatos: machine learning, algorithms, classification, prediction, support vector machine."
Micro,Application of Fuzzy Decision Support System Based on GNN in Anomaly Detection and Incident Response Service of Intelligent Security,Chen T.; Wu X.,China,2024,2,Artículo,10.14569/IJACSA.2024.0150912,International Journal of Advanced Computer Science and Applications,15,9,112-121,https://www.scopus.com/pages/publications/86000672971?origin=resultslist,Science and Information Organization,"anomaly detection, fuzzy decision support system, GNN, incident response service, intelligent security, Complex relationships, Embedded representation, Graph data, Graph neural networks, Incident response, Robust systems, organization, processes, model, models, machine learning, deep learning, neural network, detection, datasets","This paper introduces a fuzzy decision support system (FDSS) based on a graph neural network (GNN) for anomaly detection and intelligent security. The primary aim is to develop a robust system capable of accurately identifying anomalies and providing timely incident response services. GNNs are utilized to capture the complex relationships and features between nodes in graph data, learning the embedded representation of each node through information transfer and aggregation mechanisms, which encapsulate the structural information of the graph.","Clasificado como Micro por coincidencias en metadatos: detection, anomaly detection, model, models, machine learning, deep learning."
Micro,Decision Systems in Cybersecurity: A Synergy of AI and ML,Sharma R.; Sherje N.; Godbole A.; Shailesh; Deshmukh V.; Pandit P.V.,India,2025,1,Conferencia,10.1007/978-981-96-0143-1_42,"Smart Innovation, Systems and Technologies",421,,527-535,https://www.scopus.com/pages/publications/105002384135?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"Cybersecurity, Decision systems, Incident response, Intrusion detection systems, Machine learning, Threat intelligence, Adversarial machine learning, Intrusion detection, Network intrusion, Cyber security, Cyber threats, Decision-making systems, Machine-learning, Making decision, Review papers, impact, management, processes, algorithms, model","Cyber threats are becoming more frequent and complex, making decision systems crucial to cybersecurity. The review paper uses machine learning to examine decision systems and cybersecurity, highlighting its fundamentals, applications, and challenges. The paper begins with a detailed cybersecurity overview, emphasizing the need for strong decision-making systems to address changing threats.","Clasificado como Micro por coincidencias en metadatos: algorithms, model, machine learning, detection, intrusion detection, datasets."
Micro,Monitoring Incident Response Using Real-Time Analytics,Mohanraj G.; Nadesh R.K.; Jagannathan J.; Adityan S.; Sathiyamoorthi V.,India,2025,0,Conferencia,10.1109/ITIKD63574.2025.11004824,"2nd International Conference on IT Innovations and Knowledge Discovery, ITIKD 2024",,,,https://www.scopus.com/pages/publications/105007528500?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"ARIMA, data analytics, Decision Tree, Facebook Prophet, Incident response, KNN, LSTM, machine learning, Random Forest, SVM, time series forecasting, Cyber attacks, Intelligent systems, Risk perception, Facebook, Machine-learning, Random forests, Prediction models, organizational, management","In today's digital landscape, rapid and effective incident response is crucial for maintaining organizational security against sophisticated cyber threats. This project explores the optimization of incident response processes through the implementation of advanced data analytics, machine learning, and time series forecasting algorithms. The system utilizes historical incident data along with advanced algorithms like ARIMA, Support vector machine, LSTM, KNN, Facebook Prophet, Decision Tree, and Random Forest to predict incident volumes, prioritize tickets, and evaluate RFC outcomes.","Clasificado como Micro por coincidencias en metadatos: algorithms, models, machine learning, prediction, random forest, support vector machine."
Meso,Leveraging OSINT for Advanced Proactive Cybersecurity: Strategies and Solutions,Avrahami Z.; Zwilling M.; Hajaj C.,Israel,2025,4,Artículo,10.1109/ACCESS.2025.3603868,IEEE Access,13,,154229-154250,https://www.scopus.com/pages/publications/105014630832?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"CTI, cyber threat intelligence, intelligence cycle, Open-source intelligence, OSINT, proactive cybersecurity, Artificial intelligence, Behavioral research, Cybersecurity, Data integration, Data reliability, Decision making, Open systems, Terrorism, Cybe threat intelligence, Cyber security, Cyber threats, Decisions makings, Open source intelligence, Cost effectiveness","The growing complexity of the digital environment has increased the need for proactive and intelligence-based approaches to cybersecurity. This study examines the role of open-source intelligence (OSINT) as a strategic tool in proactive cybersecurity operations. Drawing on a wide range of peer-reviewed literature and professional sources, it reviews definitions, operational processes, areas of application, benefits, and challenges associated with OSINT.","Clasificado como Meso por coincidencias en metadatos: business, organizational, decision making, incident response, processes."
Micro,Novel Method of Improving Cybersecurity Posture with Real-Time Analytics in Security Operations Centers,Boljam A.M.; Saini V.; Bojja S.G.R.; Mohammed H.U.H.; Alluri V.R.R.,United States,2025,0,Conferencia,10.1109/ICCTDC64446.2025.11157987,"2025 International Conference on Computing Technologies and Data Communication, ICCTDC 2025",,,,https://www.scopus.com/pages/publications/105019060909?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"anomaly detection, automated decision-making, cybersecurity automation, Cybersecurity posture, data streams, data-driven security, false positive reduction, incident response, machine learning, operational efficiency, predictive analytics, real-time analytics, security infrastructure, Security Operations Centers (SOCs), threat detection, threat intelligence, Artificial intelligence, Automation, Behavioral research, Cybersecurity","Cyberattacks become more widespread and sophisticated, cybersecurity is now at the forefront of concern for many organizations. Security Operations Centers (SOCs) are essential for their ability to monitor, detect, and respond to these threats. The problem is traditional methods are ineffective within SOCs due to large data volumes, complexities of the threat landscape, and slow time-to-response.","Clasificado como Micro por coincidencias en metadatos: models, machine learning, artificial intelligence, detection, threat detection, anomaly detection."
Micro,Digital Twins for Incident Detection and Response,Kampourakis K.E.,Norway,2025,2,Conferencia,10.1007/978-3-031-92471-2_16,Lecture Notes in Business Information Processing,548 LNBIP,,197-206,https://www.scopus.com/pages/publications/105005933537?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"critical infrastructure, Digital twin, incident detection, incident response, Critical infrastructures, Decision making, 'current, Cyber security, Cyber threats, Detection mechanism, Dynamic decision making, Infrastructure sector, Interconnectivity, Real time monitoring, Cyber attacks, machine learning, detection","Digital Twin (DT) technology is revolutionizing critical infrastructure (CI) sectors by enabling real-time monitoring, predictive analytics, and dynamic decision-making. However, this increased interconnectivity and complexity also introduces significant cybersecurity challenges. The current work investigates the potential of DTs to enhance cybersecurity incident detection and response mechanisms for CI systems.","Clasificado como Micro por coincidencias en metadatos: detection, machine learning."
Micro,Crisis Management Models for Cyberattacks Leveraging ML-Driven Detection Mechanisms,Rani P.,India,2025,0,Conferencia,10.1109/WorldSUAS66815.2025.11199118,"2025 World Skills Conference on Universal Data Analytics and Sciences, WorldSUAS 2025",,,,https://www.scopus.com/pages/publications/105022281099?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Anomaly Detection, Crisis Management, Cyberattacks, Cybersecurity, Machine Learning, Threat Classification, Decision making, Information management, Learning systems, Network layers, Public works, Random forests, Zero-day attack, Cyber security, Cyber threats, Detection mechanism, Machine-learning, Management frameworks, Management Model, Threat classifications","Cyber threats to critical infrastructure are getting ever more serious, which calls for efficient crisis management frameworks that would allow detecting, responding, and recovering swiftly. The research specifies an integrated model of responding to cyber crises in terms of the application of machine learning driven anomaly detection mechanisms. This framework utilizes anomaly detection, threat type identification, and risk ranking, in order to enhance the process of decision-making and make the automatic incident response possible.","Clasificado como Micro por coincidencias en metadatos: models, detection, model, machine learning, classification, anomaly detection."
Micro,On the Use of Artificial Intelligence in Cybersecurity Incident Investigations,Gorda M.,Russian Federation,2025,0,Conferencia,10.1109/SmartIndustryCon65166.2025.10986177,"Proceedings - 2025 International Russian Smart Industry Conference, SmartIndustryCon 2025",,,747-752,https://www.scopus.com/pages/publications/105007160179?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"artificial intelligence, cybersecurity, digital forensics, incident investigation, Artificial life, Cyber attacks, Forensic engineering, Intelligent computing, Intelligent systems, Anomaly detection, Artificial intelligence techniques, Behaviour models, Cyber security, Cyber threats, Cyber-attacks, Decision support algorithms, Digital evidence, Information security incidents, Computer forensics, incident response",The increasing number of cyber threats significantly complicates the investigation of information security incidents. Traditional digital forensic methods face challenges due to the growing volume of data and the increasing sophistication of cyberattacks. This paper presents a decision-support algorithm designed to assist specialists in conducting efficient and accurate investigations using artificial intelligence techniques.,"Clasificado como Micro por coincidencias en metadatos: artificial intelligence, algorithm, algorithms, models, detection, anomaly detection."
